Renderer: opengl
sim+ink(parallel)=23.448 ms, shade+present(parallel)=27.675 ms
sim+ink(parallel)=27.3609 ms, shade+present(parallel)=27.4604 ms
sim+ink(parallel)=23.8755 ms, shade+present(parallel)=25.171 ms
sim+ink(parallel)=26.2245 ms, shade+present(parallel)=23.6612 ms
sim+ink(parallel)=27.9861 ms, shade+present(parallel)=23.7741 ms
sim+ink(parallel)=30.1714 ms, shade+present(parallel)=25.4597 ms
sim+ink(parallel)=32.8756 ms, shade+present(parallel)=24.4243 ms
sim+ink(parallel)=36.5441 ms, shade+present(parallel)=26.5404 ms
sim+ink(parallel)=42.6247 ms, shade+present(parallel)=25.866 ms
sim+ink(parallel)=49.5026 ms, shade+present(parallel)=27.7149 ms
sim+ink(parallel)=49.8589 ms, shade+present(parallel)=29.3923 ms
sim+ink(parallel)=54.5314 ms, shade+present(parallel)=25.226 ms
sim+ink(parallel)=60.6947 ms, shade+present(parallel)=25.2232 ms
sim+ink(parallel)=63.5377 ms, shade+present(parallel)=25.7508 ms
sim+ink(parallel)=67.8396 ms, shade+present(parallel)=25.2408 ms
sim+ink(parallel)=72.4626 ms, shade+present(parallel)=25.4855 ms
FPS: 16
sim+ink(parallel)=76.5081 ms, shade+present(parallel)=25.5996 ms
sim+ink(parallel)=83.3856 ms, shade+present(parallel)=25.3469 ms
sim+ink(parallel)=104.93 ms, shade+present(parallel)=64.3344 ms
sim+ink(parallel)=97.8236 ms, shade+present(parallel)=25.2027 ms
sim+ink(parallel)=97.8062 ms, shade+present(parallel)=25.4051 ms
sim+ink(parallel)=103.91 ms, shade+present(parallel)=28.9971 ms
sim+ink(parallel)=105.052 ms, shade+present(parallel)=25.0817 ms
sim+ink(parallel)=106.808 ms, shade+present(parallel)=25.1664 ms
sim+ink(parallel)=97.4558 ms, shade+present(parallel)=28.8691 ms
FPS: 14
sim+ink(parallel)=99.7256 ms, shade+present(parallel)=25.2159 ms
sim+ink(parallel)=100.133 ms, shade+present(parallel)=25.2078 ms
sim+ink(parallel)=102.859 ms, shade+present(parallel)=40.4089 ms
sim+ink(parallel)=105.112 ms, shade+present(parallel)=24.3509 ms
sim+ink(parallel)=102.106 ms, shade+present(parallel)=24.3328 ms
sim+ink(parallel)=101.956 ms, shade+present(parallel)=30.9562 ms
sim+ink(parallel)=94.4115 ms, shade+present(parallel)=28.0172 ms
sim+ink(parallel)=85.7995 ms, shade+present(parallel)=26.4638 ms
FPS: 13
sim+ink(parallel)=90.3535 ms, shade+present(parallel)=25.463 ms
sim+ink(parallel)=84.57 ms, shade+present(parallel)=25.9347 ms
sim+ink(parallel)=84.0635 ms, shade+present(parallel)=25.3235 ms
